Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
32613     	0.1100         	0.059044       	3810000   	0.1000    	195.30         
32656     	0.0962         	0.060259       	3820000   	0.1000    	216.40         
32696     	0.0915         	0.057028       	3830000   	0.1000    	152.40         
32730     	0.0921         	0.055891       	3840000   	0.1000    	244.90         
32763     	0.1272         	0.059709       	3850000   	0.1000    	163.50         
32802     	0.0771         	0.059225       	3860000   	0.1000    	196.70         
32837     	0.0952         	0.056266       	3870000   	0.1000    	189.80         
32874     	0.1134         	0.059425       	3880000   	0.1000    	248.20         
32908     	0.0854         	0.059809       	3890000   	0.1000    	244.20         
32943     	0.1076         	0.056612       	3900000   	0.1000    	189.70         
32976     	0.1019         	0.062044       	3910000   	0.1000    	226.20         
33017     	0.1044         	0.063391       	3920000   	0.1000    	240.20         
33057     	0.1127         	0.055681       	3930000   	0.1000    	235.00         
33093     	0.0834         	0.060591       	3940000   	0.1000    	181.40         
33134     	0.1043         	0.057103       	3950000   	0.1000    	177.70         
33171     	0.0856         	0.060100       	3960000   	0.1000    	155.10         
33212     	0.0764         	0.061397       	3970000   	0.1000    	215.80         
33247     	0.1028         	0.058750       	3980000   	0.1000    	136.00         
33286     	0.0845         	0.062794       	3990000   	0.1000    	153.90         
33331     	0.0811         	0.062050       	4000000   	0.1000    	163.90         
33366     	0.0877         	0.062578       	4010000   	0.1000    	153.40         
33405     	0.0614         	0.059797       	4020000   	0.1000    	162.70         
33441     	0.0716         	0.058259       	4030000   	0.1000    	225.60         
33475     	0.1060         	0.062028       	4040000   	0.1000    	220.30         
33517     	0.0935         	0.058966       	4050000   	0.1000    	215.20         
33551     	0.0918         	0.060650       	4060000   	0.1000    	235.70         
33582     	0.1318         	0.062794       	4070000   	0.1000    	201.30         
33616     	0.1114         	0.063975       	4080000   	0.1000    	214.40         
33651     	0.0981         	0.063641       	4090000   	0.1000    	207.40         
33691     	0.0699         	0.062838       	4100000   	0.1000    	213.90         
